,o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21,o22,o23
CT-3-DEGU1-0501,8,8,8,8,8,8,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CT-27-COCR2-0625,6,6,6,NA,NA,NA,NA,NA,NA,6,6,6,6,6,6,6,6,6,6,6,NA,NA,NA
CT-28-REPE2-0830,8,8,8,8,8,8,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CT-115-LAMC-0501,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CT-115-WHCK-0714,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA
CT-133-WUDH-0815,6,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CT-283-STRF-0824,8,8,8,8,8,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CT-286-SHFI-0824,12,12,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CT-287-RAME1-0826,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,NA,NA,NA,NA,NA
CT-287-MCGM-0623,15,15,15,15,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CT-288-SOPA-0624,9,9,9,9,9,9,9,9,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CT-305-HZCK-0830,11,11,11,11,11,11,11,11,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CT-306-FMCK-0830,6,6,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CT-450-LSTR1-0828,11,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CT-474-FLCR-0829,6,6,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CT-479-COCR1-0622,6,6,6,6,NA,NA,NA,NA,NA,NA,6,6,6,6,6,6,6,6,6,6,NA,NA,NA
CT-483-SIRI-0625,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CT-539-BUOR-0622,12,12,12,12,12,12,12,12,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CT-540-RLTR-0624,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CT-541-RBFI1-0826,6,6,6,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CT-544-RECK-0831,8,8,8,8,8,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CT-544-REPE1-0831,11,11,11,11,11,11,11,11,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CT-565-HIME-0624,12,12,12,12,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CT-566-SOCR2-0623,12,12,12,12,12,12,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CT-570-BORI-0624,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CT-570-RAME2-0623,12,12,12,12,12,12,12,12,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CT-672-EAPA-0621,10,10,10,10,10,10,10,10,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
CT-675-GRCR-0621,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA
CT-755-MTHA-0621,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,NA,NA,NA,NA,NA,NA,NA,NA
CT-761-WFMR1-0908,10,10,10,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CT-1168-PAIB-0712,8,8,8,8,8,8,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CT-1168-PARI2-0712,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA
CT-1168-PARI3-0712,6,6,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CT-1240-PAFC-0504,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CT-1262-POCK-0410,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CT-1374-SUMC-0521,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,NA,NA,NA,NA,NA,NA,NA
CT-1390-SOWC-0520,8,8,8,8,8,8,8,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CT-1465-EIMC-0523,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CT-1501-CORI-0714,19,19,19,19,19,19,19,19,19,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
